team,pos_abb,player_name,designation
DET,LG,Christian Mahogany,Incumbent
DET,LT,Penei Sewell,Incumbent
DET,RG,Tate Ratledge,Incumbent
DET,RT,Blake Miller,Rookie
GB,C,Sean Rhyan,Incumbent
GB,LG,Aaron Banks,Incumbent
GB,LT,Jordan Morgan,Incumbent
GB,RG,Anthony Belton,New
GB,RT,Zach Tom,Incumbent
HOU,C,Jake Andrews,Incumbent
HOU,LG,Keylan Rutledge,Rookie
HOU,LT,Aireontae Ersery,Incumbent
HOU,RG,Wyatt Teller,New
HOU,RT,Braden Smith,New
IND,C,Tanor Bortolini,Incumbent
IND,LG,Quenton Nelson,Incumbent
IND,LT,Bernhard Raimann,Incumbent
IND,RG,Matt Goncalves,Incumbent
IND,RT,Jalen Travis,New
JAX,C,Robert Hainsey,Incumbent
JAX,LG,Ezra Cleveland,Incumbent
JAX,LT,Cole Van Lanen,Incumbent
JAX,RG,Patrick Mekari,Incumbent
JAX,RT,Anton Harrison,Incumbent
KC,C,Creed Humphrey,Incumbent
KC,LG,Kingsley Suamataia,Incumbent
KC,LT,Josh Simmons,Incumbent
KC,RG,Trey Smith,Incumbent
KC,RT,Jaylon Moore,New
LA,C,Coleman Shelton,Incumbent
LA,LG,Steve Avila,Incumbent
LA,LT,Alaric Jackson,Incumbent
LA,RG,Kevin Dotson,Incumbent
LA,RT,Warren McClendon Jr.,Incumbent
LAC,C,Tyler Biadasz,New
LAC,LG,Trevor Penning,New
LAC,LT,Rashawn Slater,IR Return
LAC,RG,Jake Slaughter,Rookie
LAC,RT,Joe Alt,Incumbent
LV,C,Tyler Linderbaum,New
LV,LG,Spencer Burford,New
LV,LT,Kolton Miller,Incumbent
LV,RG,Jackson Powers-Johnson,Incumbent
LV,RT,DJ Glaze,New
MIA,C,Aaron Brewer,Incumbent
MIA,LG,Kadyn Proctor,Rookie
MIA,LT,Patrick Paul,Incumbent
MIA,RG,Jonah Savaiinaea,Incumbent
MIA,RT,Austin Jackson,Incumbent
MIN,C,Blake Brandel,Incumbent
MIN,LG,Donovan Jackson,Incumbent
MIN,LT,Christian Darrisaw,Incumbent
MIN,RG,Will Fries,Incumbent
MIN,RT,Brian O'Neill,Incumbent
NE,C,Jared Wilson,Incumbent
NE,LG,Alijah Vera-Tucker,New
NE,LT,Will Campbell,Incumbent
NE,RG,Mike Onwenu,New
NE,RT,Morgan Moses,Incumbent
NO,C,Erik McCoy,Incumbent
NO,LG,David Edwards,New
NO,LT,Kelvin Banks Jr.,Incumbent
NO,RG,Cesar Ruiz,Incumbent
NO,RT,Taliese Fuaga,Incumbent
NYG,C,John Michael Schmitz Jr.,Incumbent
NYG,LG,Jon Runyan,Incumbent
NYG,LT,Andrew Thomas,Incumbent
NYG,RG,Francis Mauigoa,Rookie
NYG,RT,Jermaine Eluemunor,Incumbent
NYJ,C,Josh Myers,Incumbent
NYJ,LG,Dylan Parham,New
NYJ,LT,Olu Fashanu,New
NYJ,RG,Joe Tippmann,Incumbent
NYJ,RT,Armand Membou,Incumbent
PHI,C,Cam Jurgens,Incumbent
PHI,LG,Landon Dickerson,Incumbent
PHI,LT,Jordan Mailata,Incumbent
PHI,RG,Tyler Steen,Incumbent
PHI,RT,Lane Johnson,Incumbent
PIT,C,Zach Frazier,Incumbent
PIT,LG,Spencer Anderson,New
PIT,LT,Broderick Jones,Incumbent
PIT,RG,Mason McCormick,Incumbent
PIT,RT,Troy Fautanu,Incumbent
SEA,C,Jalen Sundell,Incumbent
SEA,LG,Grey Zabel,Incumbent
SEA,LT,Charles Cross,Incumbent
SEA,RG,Anthony Bradford,Incumbent
SEA,RT,Abraham Lucas,Incumbent
SF,C,Jake Brendel,Incumbent
SF,LG,Robert Jones,New
SF,LT,Trent Williams,Incumbent
SF,RG,Dominick Puni,Incumbent
SF,RT,Colton McKivitz,Incumbent
TB,C,Graham Barton,Incumbent
TB,LG,Ben Bredeson,Incumbent
TB,LT,Tristan Wirfs,Incumbent
TB,RG,Cody Mauch,Incumbent
TB,RT,Luke Goedeke,Incumbent
TEN,C,Austin Schlottmann,New
TEN,LG,Peter Skoronski,Incumbent
TEN,LT,Dan Moore Jr.,Incumbent
TEN,RG,Cordell Volson,New
TEN,RT,JC Latham,Incumbent
WAS,C,Nick Allegretti,Incumbent
WAS,LG,Chris Paul,Incumbent
WAS,LT,Laremy Tunsil,Incumbent
WAS,RG,Sam Cosmi,IR Return
WAS,RT,Josh Conerly Jr.,Incumbent
